HelioData_short_name,SPASE_ResourceName
SolO,Solar Orbiter Spacecraft
AeroCube-6,AeroCube-6 (AC6) CubeSat
AeroCube-6A,AeroCube-6A (AC6) CubeSat
AeroCube-6B,AeroCube-6B (AC6) CubeSat
PUNCH,PUNCH Mission
PUNCH NFI,PUNCH-NFI
PUNCH WFI,PUNCH-WFI
PUNCH WFI 1,PUNCH-WFI-1
PUNCH WFI 2,PUNCH-WFI-2
PUNCH WFI 3,PUNCH-WFI-3
"GO ABOVE the Geospace Observatory   Array for
   Broadband Observations of VLF ELF Emissions","GO-ABOVE the Geospace Observatory - Array for
   Broadband Observations of VLF/ELF Emissions"
AE,AE Spacecraft
AE C,AE-C
AE D,AE-D
AE E,AE-E
Aeros A,Aeros-A
AMPTE,AMPTE Mission
AMPTE CCE,AMPTE/CCE
AMPTE IRM,AMPTE/IRM
AMPTE UKS,AMPTE/UKS
Apollo 12 Lunar Module ALSEP,Apollo 12 Lunar Module/ALSEP
Apollo 14 Lunar Module   ALSEP,Apollo 14 Lunar Module / ALSEP
Apollo 15 Lunar Module ALSEP,Apollo 15 Lunar Module/ALSEP
Aureol,Aureol 3
BepiColombo,BepiColombo Spacecraft
Cluster,Cluster Mission
CNOFS,Communication/Navigation Outage Forecasting System (C/NOFS)
DE,Dynamics Explorer Mission
DMSP,DMSP Series
DMSP_5D 2,DMSP_5D-2
DMSP_5D 2 F08,DMSP_5D-2/F08
DMSP_5D 2 F09,DMSP_5D-2/F09
DMSP_5D 2 F10,DMSP_5D-2/F10
DMSP_5D 2 F11,DMSP_5D-2/F11
DMSP_5D 2 F12,DMSP_5D-2/F12
DMSP_5D 2 F13,DMSP_5D-2/F13
DMSP_5D 2 F14,DMSP_5D-2/F14
"Defense Meteorological Satellite Program, DMSP F15","Defense Meteorological Satellite Program, DMSP-F15"
"Defense Meteorological Satellite Program, DMSP F16","Defense Meteorological Satellite Program, DMSP-F16"
"Defense Meteorological Satellite Program, DMSP F17","Defense Meteorological Satellite Program, DMSP-F17"
"Defense Meteorological Satellite Program, DMSP F18","Defense Meteorological Satellite Program, DMSP-F18"
"Defense Meteorological Satellite Program, DMSP F19","Defense Meteorological Satellite Program, DMSP-F19"
"Defense Meteorological Satellite Program, DMSP S20","Defense Meteorological Satellite Program, DMSP-S20"
Double Star,Double Star Mission
DSCOVR,"Deep Space Climate Observatory, DSCOVR"
e CALLISTO International Network of Solar Radio Spectrometers,e-CALLISTO International Network of Solar Radio Spectrometers
ELFIN A,"ELFIN A, CubeSat"
ELFIN B,"ELFIN B, CubeSat"
Emirates Mars (EMM),Emirates Mars Mission (EMM)
Equator S,Equator-S
Explorer,Explorer 35
Fermi Gamma ray Space Telescope,Fermi Gamma-ray Space Telescope
Gravity Field and Steady State Ocean Circulation Explorer (GOCE),Gravity Field and Steady-State Ocean Circulation Explorer (GOCE)
GOES1,Geostationary Operational Environmental Satellites
BMLS,Bay Mills Geophysical Observatory
BENN,Bennington Geophysical Observatory
BETT,Bettles Geophysical Observatory
CANMOS,CANadian Magnetic Observatory System
CDRT,Cape Dorset Geophysical Observatory
CCNV,Carson City Geophysical Observatory
Chambon la Foret,Chambon-la-Foret
CHBG,Chibougamau Geophysical Observatory
CRVR,Clyde River Geophysical Observatory
CHBR,Coral Harbour Geophysical Observatory
DNB,Daneborg Geophysical Observatory
DMH,Danmarkshavn Geophysical Observatory
DED,Dead Horse Geophysical Observatory
GUA,Dededo Geophysical Observatory
DRBY,Derby Geophysical Observatory
EAGL,Eagle Geophysical Observatory
EKAT,Ekati Geophysical Observatory
FTN,Fort Nelson Geophysical Observatory
FSJ,Fort St. John Geophysical Observatory
FYTS,Fort Yates Geophysical Observatory
GeoForschungsZentrum,GeoForschungsZentrum 
GIMA,Geophysical Institute Magnetometer Array
GJOA,Gjoa Haven Geophysical Observatory
GLYN,Glyndon Geophysical Observatory
GMAG,THEMIS-Associated Ground Magnetometer Stations
GBAY,Goose Bay Geophysical Observatory
HRIS,Harris Geophysical Observatory
IGLO,Igloolik Geophysical Observatory
INUK,Inukjuak Geophysical Observatory
Istanbul Kandilli,Istanbul-Kandilli
SCO,Ittoqqortoormiit Geophysical Observatory
JCK,Jackvik Geophysical Observatory
KAKO,Kaktovik Geophysical Observatory
STF,Kangerlussuaq Geophysical Observatory
KAPU,Kapuskasing Geophysical Observatory
KAR,Karmoy Geophysical Observatory
KENA,Kenai Geophysical Observatory
KEV,Kevo Geophysical Observatory
KIAN,Kiana Geophysical Observatory
KIL,Kilpisjarvi Geophysical Observatory
KODK,Kodiak Geophysical Observatory
KUV,Kullorsuaq Geophysical Observatory
KUUJ,Kuujjuaq Geophysical Observatory
KJPK,Kuujjuarapik Geophysical Observatory
LRG,La Ronge Geophysical Observatory
LREL,Laurel Geophysical Observatory
LETH,Lethbridge Geophysical Observatory
LRES,Linares Geophysical Observatory
LYR,Longyearbyen Geophysical Observatory
LOYS,Loysburg Geophysical Observatory
LYFD,Lyford Geophysical Observatory
MACCS,Magnetometer Array for Cusp and Cleft Studies
SKT,Maniitsoq Geophysical Observatory
MAS,Masi Geophysical Observatory
MCGR,McGrath Geophysical Observatory
McMAC,"Mid-continent Magnetoseismic Chain, McMAC, Observatory Chain"
MEK,Mekrijarvi Geophysical Observatory
MUO,Muono Geophysical Observatory
NRSQ,Narsarsuaq Geophysical Observatory
BSL,NASA Stennis Space Center Geophysical Observatory
NOR,Nordkapp Geophysical Observatory
GHB,Nuuk Geophysical Observatory
NAL,Nyalesund
FHB,Paamiut Geophysical Observatory
PANG,Pangnirtung Geophysical Observatory
PKS,Park Site Geophysical Observatory
PEL,Pello Geophysical Observatory
PG0,PENGUIn-0 Geophysical Observatory
PG1,PENGUIn-1 Geophysical Observatory
PG2,PENGUIn-2 Geophysical Observatory
PG3,PENGUIn-3 Geophysical Observatory
PG4,PENGUIn-4 Geophysical Observatory
PG5,PENGUIn-5 Geophysical Observatory
PTRS,Petersburg Geophysical Observatory
PBK,Pevek Geophysical Observatory
PINE,Pine Ridge Geophysical Observatory
Port aux Francais,Port-aux-Francais
Poste de la Baleine,Poste-de-la-Baleine
ROTH,Priddis Geophysical Observatory
PGEO,Prince George Geophysical Observatory
PBLO,Pueblo Geophysical Observatory
PCEL,Purcell Geophysical Observatory
PUVR,Puvirnituq Geophysical Observatory
THL,Qaanaaq Geophysical Observatory
GDH,Qeqertarsuaq Geophysical Observatory
RADI,Radisson Geophysical Observatory
RAM,Russian Arctic and Antarctic Magnetometer network
RAN,Ranua Geophysical Observatory
REDR,Red Deer Geophysical Observatory
RMUS,Remus Geophysical Observatory
RBAY,Repulse Bay Geophysical Observatory
RICH,Richardson Geophysical Observatory
ROE,Roemoe
RVK,Rorvik Geophysical Observatory
STFL,Saint-Felicien Geophysical Observatory
SALU,Salluit Geophysical Observatory
SATX,San Antonio Geophysical Observatory
San Pablo Toledo,San Pablo-Toledo
SNKQ,Sanikiluaq Geophysical Observatory
SVS,Savissivik Geophysical Observatory
SCHF,Schefferville Geophysical Observatory
SEPT,Sept Iles Geophysical Observatory
SWNO,Shawano Geophysical Observatory
SNAP,Snap Lake Geophysical Observatory
SOL,Solund Geophysical Observatory
SOR,Soroya Geophysical Observatory
STFD,Stanford Geophysical Observatory
STEP,STEP Observatory Group
SUM,Summit Geophysical Observatory
TAR,Tartu Geophysical Observatory
TPAS,The Pas
TAB,Thule Air Base Geophysical Observatory
TIK,Tiksi Geophysical Observatory
TOOL,Toolik Lake Geophysical Observatory
TRAP,Trapper Creek Geophysical Observatory
TDC,Tristan Da Cunha Geophysical Observatory
TRO,Tromso Geophysical Observatory
UKIA,Ukiah Geophysical Observatory
UPN,Upernavik Geophysical Observatory
UPS,Uummannaq Geophysical Observatory
VLDR,Val-d'Or Geophysical Observatory
VIZ,Vize Island Geophysical Observatory
WLPS,Wallops Island Geophysical Observatory
WHIT,Whitehorse Geophysical Observatory
WRTH,Worthington Geophysical Observatory
Helios,Helios Mission
HEO 1,HEO-1
HEO 2,HEO-2
HEO 3,HEO-3
AMD,Amderma
AMU,Anchorage
AVI,Arctic Village
Argentine Island Vernadski,Argentine Island/Vernadski
Ashkhabad Vannovskaya,Ashkhabad/Vannovskaya
Au Tau,Au-Tau
BLC,Baker Lake
BBG,Barentsburg
BRW,Barrow
Bei Jing,Bei-Jing
Berezniaki Karaganda,Berezniaki/Karaganda
BOU,Boulder
BFE,Brorfelde
CBB,Cambridge Bay
CMO,College
Crozet Port Alfred,Crozet/Port Alfred
DOB,Dombas
Fort Churchill,Fort Churchill 2
FSP,Fort Simpson
FSM,Fort Smith
FYU,Fort Yukon
FRD,Fredericksburg
FRN,Fresno
GIM,Gillam
Gornotayezhnaya Vladivostok,Gornotayezhnaya/Vladivostok
Gottingen 1,Gottingen-1
Gottingen 2,Gottingen-2
HAN,Hankasalmi
Hong Kong,Hong Kong 1
Honolulu 1 2 3,Honolulu 1-2-3
Ile Ife,Ile-Ife
INK,Inuvik
IQA,Iqaluit
IVA,Ivalo
JMI,Jan Mayen
Kaliningrad 1,Kaliningrad-1
Kaliningrad 2,Kaliningrad-2
Kzil Agach,Kzil-Agach
LRV,Leirvogur
Loparskaya Murmansk,Loparskaya/Murmansk
LOZ,Lovozero
LUC,Lucky Lake
Lukiapang 1,Lukiapang-1
Lukiapang 2,Lukiapang-2
Maisach 1,Maisach-1
Maisach 2,Maisach-2
Maitun Vladivostok,Maitun/Vladivostok
Mcmath Hulbert,Mcmath-Hulbert
MEA,Meanook
Midway 1,Midway-1
Midway 2,Midway-2
Minsk Pleshenitzi,Minsk/Pleshenitzi
NRD,Nord
NUR,Nurmijarvi
OTT,Ottawa
OUL,Oulujarvi
Paratunka Petropavlovsk,Paratunka/Petropavlovsk
Patrony Irkoutsk,Patrony/Irkoutsk
Peking,Peking 1
POK,Poker Flat
RIT,Rankin Inlet
S Cruz De Tenerife Las Mesas,S Cruz De Tenerife/Las Mesas
San Juan 1 2 3,San Juan 1-2-3
She Shan,She-Shan
SHU,Shumagin
SIT,Sitka
STJ,St. John's
Stettin Zabelsdorf,Stettin-Zabelsdorf
Sverdlovsk Yekaterinburg,Sverdlovsk/Yekaterinburg
Taipei Taihoku,Taipei/Taihoku
Tashkent 1,Tashkent-1
Tashkent 2 Yangi Bazar,Tashkent-2/Yangi-Bazar
Thule 1 Dundas,Thule 1/Dundas
Thule 2 Camp Tuto,Thule-2/Camp Tuto
Thule 3 Qanaq,Thule-3/Qanaq
TRO,Tromso
Tsingtao Qingdao,Tsingtao/Qingdao
TUC,Tucson
VIC,Victoria
VOS,Vostok
YKC,Yellowknife
Zaimishche Kazan,Zaimishche/Kazan
ICON,Ionospheric Connection Explorer
IGPP LANL Air Force Academy Magnetometer,IGPP-LANL Air Force Academy Magnetometer
IGPP LANL Boulder Magnetometer,IGPP-LANL Boulder Magnetometer
IGPP LANL Cambridge Magnetometer,IGPP-LANL Cambridge Magnetometer
IGPP LANL Crete Magnetometer,IGPP-LANL Crete Magnetometer
IGPP LANL Jicamarca Magnetometer,IGPP-LANL Jicamarca Magnetometer
IGPP LANL Los Alamos National Laboratory Magnetometer,IGPP-LANL Los Alamos National Laboratory Magnetometer
IGPP LANL Rapid City Magnetometer,IGPP-LANL Rapid City Magnetometer
IGPP LANL San Gabriel Dam Magnetometer,IGPP-LANL San Gabriel Dam Magnetometer
IGPP LANL SE Louisiana University Magnetometer,IGPP-LANL SE Louisiana University Magnetometer
IGPP LANL Table Mountain Magnetometer,IGPP-LANL Table Mountain Magnetometer
IGPP LANL Teoloyucan Magnetometer,IGPP-LANL Teoloyucan Magnetometer
IGS,International GNSS Service (IGS)
IMP,IMP Spacecraft Series
Injun,Injun 5
Interball 1,Interball-1
Interball 2,Interball-2
IRIS,Interface Region Imaging Spectrograph (IRIS)
ISEE,ISEE Mission
ISIS,ISIS Satellites
ISS,International Space Station
Korean Multi Purpose Satellite (KOMPSAT 1),Korean Multi-Purpose Satellite (KOMPSAT-1)
LANL,LANL Spacecraft Series
LANL-97A,LANL1997
LANL-01A,LANL2001
LANL-02sA,LANL2002
LANL-97,LANL97A
Magion 4,Magion-4
Mariner,Mariner 10
MSL,"Mars Science Laboratory, MSL"
MAVEN,Mars Atmosphere and Volatile Evolution
Mid continent Magnetoseismic Chain (McMAC) Americus Station,Mid-continent Magnetoseismic Chain (McMAC) Americus Station
Mid continent Magnetoseismic Chain (McMAC) Bennington Station,Mid-continent Magnetoseismic Chain (McMAC) Bennington Station
Mid continent Magnetoseismic Chain (McMAC) Glyndon Station,Mid-continent Magnetoseismic Chain (McMAC) Glyndon Station
Mid continent Magnetoseismic Chain (McMAC) Linares Station,Mid-continent Magnetoseismic Chain (McMAC) Linares Station
Mid continent Magnetoseismic Chain (McMAC) Lyford Station,Mid-continent Magnetoseismic Chain (McMAC) Lyford Station
Mid continent Magnetoseismic Chain (McMAC) Purcell Station,Mid-continent Magnetoseismic Chain (McMAC) Purcell Station
Mid continent Magnetoseismic Chain (McMAC) Richardson Station,Mid-continent Magnetoseismic Chain (McMAC) Richardson Station
Mid continent Magnetoseismic Chain (McMAC) San Antonio Station,Mid-continent Magnetoseismic Chain (McMAC) San Antonio Station
Mid continent Magnetoseismic Chain (McMAC) Worthington Station,Mid-continent Magnetoseismic Chain (McMAC) Worthington Station
MetOp A,MetOp-A
MetOp A,MetOp-A
MGS,Mars Global Surveyor
Magnetosphere Ionosphere Coupling in the Alfvén resonator (MICA),Magnetosphere-Ionosphere Coupling in the Alfvén resonator (MICA)
MMS 1,MMS-1
MMS 2,MMS-2
MMS 3,MMS-3
MMS 4,MMS-4
Nimbus,Nimbus 7
NOAA,NOAA 9
OGO,OGO Satellites
OV1 19,OV1-19
OV3 3,OV3-3
PSP,Parker Solar Probe Spacecraft
Phobos,Phobos 2
Pioneer,Pioneer Spacecraft Series
Polar orbiting Operational Environmental Satellite (POES),Polar-orbiting Operational Environmental Satellite (POES)
Polar,POLAR
PROBA 2,PROBA2
Prognoz,Prognoz Spacecraft Series
RBSP,Radiation Belt Storm Probe Satellite
RENU 2,"Rocket Experiment for Neutral Upwelling 2, RENU 2, Sounding Rocket Payload"
S-Cubed_A,S-Cubed A
S3 3,S3-3
SAC-C,SAC-C Project
San Marco DL,San Marco-DL
Solar wind Magnetosphere Ionosphere Link Explorer (SMILE),Solar wind-Magnetosphere-Ionosphere Link Explorer (SMILE)
SNOE,Student Nitric Oxide Explorer (SNOE)
ST5,ST5 Mission
ST5 094,ST5-094
ST5 155,ST5-155
ST5 224,ST5-224
Solar Terrestrial Energy Program,Solar-Terrestrial Energy Program
STEREO,STEREO Mission
STPSat 1,STPSat-1
THEMIS Ground,THEMIS-Associated Ground Magnetometer Stations
THEMIS GIMA,THEMIS-GIMA
EPO,THEMIS-EPO
THEMIS GBO,THEMIS-GBO
TWINS,TWINS Mission
SPSG,Space Plasma Simulation Group
Vega,Vega Mission
Voyager,Voyager Spacecraft
Chambon la Foret Ground Observatory,Chambon-la-Foret Ground Observatory
San Pablo Toledo Ground Observatory,San Pablo-Toledo Ground Observatory
Zo Se Ground Observatory,Zo-Se Ground Observatory
Zond,Zond 3
